,ASIN,タイトル,価格,説明,URL,サムネイルURLs
11,B082P2QD59,さくら製作所 低温日本酒&ドリンクセラー ZERO CHILLED OSK9-B,49827.0,冷蔵庫よりも低い温度の「0℃」で冷やせるドリンクセラー。ビールや炭酸水をキンキンに冷やしたり、日本酒の鮮度を保持するのに最適。わずか42.5㎝の薄型設計で設置場所に困りませんので、リビングや書斎、オフィスなど、あらゆる場面で利用できます。,https://https://www.amazon.co.jp/dp/B082P2QD59,"['https://m.media-amazon.com/images/I/41Ab9lc0cnL.jpg', 'https://m.media-amazon.com/images/I/41Ls2Fm7TbL.jpg', 'https://m.media-amazon.com/images/I/412gAz62IIL.jpg', 'https://m.media-amazon.com/images/I/516Y-ylhMNL.jpg', 'https://m.media-amazon.com/images/I/41LdHTGzGWL.jpg', 'https://m.media-amazon.com/images/I/41IG2wsIm5L.jpg', 'https://m.media-amazon.com/images/I/41eIEXEl-0L.jpg', 'https://m.media-amazon.com/images/I/31OOyDnYyTL.jpg', 'https://m.media-amazon.com/images/I/4163AXgLFaL.jpg', 'https://m.media-amazon.com/images/I/31tti4E27jL.jpg', 'https://m.media-amazon.com/images/I/313F5oBBTUL.jpg', 'https://m.media-amazon.com/images/I/21kaoI5tuUL.jpg', 'https://m.media-amazon.com/images/I/312O3nf2SKL.jpg']"
12,B00HA23ZTY,ottostyle.jp ワインセラー セパレート2段式 【最大16本収納スリム】 家庭用 ペルチェ方式 タッチパネル 紫外線UVカットガラス (上下2段式で設定温度を管理可能) 容量45L,21500.0,リビングにベストマッチ！2段式で設定温度を上下で管理可能な家庭用ワインセラー   ■ベーシックなスタイルながらも、上品なフォルム   高級感漂うブラックは、インテリアとしてもお部屋の空間を演出します。キッチンやリビング、寝室などに。  前面のLED表示が保存状態を一目で確認できます。   ■程よい内容量と大きさが、ワインの初心者に最適   ガラスは二重構造にすることで保温性を向上し、ワインの天敵である紫外線には紫外線カットガラスを使用。  庫内には上品に照らすLED照明を装備。   ■環境に配慮したシステム   ペルチェ冷却方式の採用によりフロンガスの使用は一切なし。環境にやさしい商品です。   ■ワインセラー庫内温度を上下で設定可能！   上段は赤ワイン・下段は白ワインを保管できます。  ※赤ワインの場合は14~16℃、白ワイン場合は9~10.5℃が適温になります。   ■デジタル表示は見やすいブルーLED。   やさしい光で庫内を照らすLED照明。   ■紫外線UVカットガラス仕様   紫外線に弱いワインをUVカットペアハーフミラーガラスで守ります。   ※PSE法の技術基準にて再設計され、ロット番号とシリアル番号で管理。 ※全品に耐絶縁検査し万全な体制で出荷しております。,https://https://www.amazon.co.jp/dp/B00HA23ZTY,"['https://m.media-amazon.com/images/I/41Yel-tmDzL.jpg', 'https://m.media-amazon.com/images/I/51z90AR0gwL.jpg', 'https://m.media-amazon.com/images/I/51+GLjUXNjL.jpg', 'https://m.media-amazon.com/images/I/51jMso+uP9L.jpg', 'https://m.media-amazon.com/images/I/410mUGM2RkL.jpg', 'https://m.media-amazon.com/images/I/41DcMXAL4CL.jpg', 'https://m.media-amazon.com/images/I/41Sa3U03zFL.jpg', 'https://m.media-amazon.com/images/I/41B6fuk+aCL.jpg', 'https://m.media-amazon.com/images/I/41e3E-dB5RL.jpg']"
13,B09773G1GT,ワインセラー ルフィエール『C15B』コンプレッサー式 15本 本体カラー：ブラック 家庭用 セラー コンプレッサー式 業務用 薄型 スリム ひとり暮らし 新生活 P/B,26950.0,商品の説明      冷却力に自信のコンプレッサー式ワインセラー！ 省電力に優れた冷却効率の高い、R600aのコンプレッサーを使用！ 奥行き45cmの極薄設計で省スペースの設置が可能に。 『コンプレッサー式』は高いという概念を覆すワインセラー！！ ■ご購入前にご確認ください。 ●高温多湿、低温低湿、換気の悪い場所、直射日光が当たる場所、屋外、また床が不安定な場所への設置は避けてください。 ●床の耐荷重は、お客様側でご確認ください。 ●設置の際は、背面50mm以上、左右各50mm以上、上面50mm以上の 放熱スペースを取ってください。 ●初めてご利用になる際は、庫内温度が安定するまで3~4時間かかります。 庫内温度が下がってからワインを収納することをお勧め致します。 ●初期設定温度は10℃です。 ●お客様のご使用上のミス、または故障によりワインの変質があっても補償致し かねますので、運転状態や庫内温度には充分ご注意下さい。 ●一度ご使用になった製品は、返品をお受けすることが出来ません。但しあきらかに製品に不備、不良が認められた製品につきましては、代替品と交換させていただきます。その他の責任はお受けすることができません。 ※こちらの商品は沖縄・離島には発送できません。恐れ入りますが予めご了承下さいませ。      ご注意（免責）＞必ずお読みください      ※こちらの商品は沖縄・離島には発送できません。恐れ入りますが予めご了承下さいませ。,https://https://www.amazon.co.jp/dp/B09773G1GT,"['https://m.media-amazon.com/images/I/31hLXUcu7+S.jpg', 'https://m.media-amazon.com/images/I/51ZLx4dADfS.jpg', 'https://m.media-amazon.com/images/I/51KsXgbbHAS.jpg', 'https://m.media-amazon.com/images/I/41sxlh8k3tS.jpg', 'https://m.media-amazon.com/images/I/51D-Sy-zqnS.jpg', 'https://m.media-amazon.com/images/I/51+nxIJwU3S.jpg', 'https://m.media-amazon.com/images/I/51Bb8KTF-zS.jpg', 'https://m.media-amazon.com/images/I/51L7WPzUg0S.jpg']"
14,B0956LRSXN,ワインセラー ルフィエール C32BD コンプレッサー式 2温度帯 32本 ブラック 家庭用 セラー 業務用 薄型 スリム 日本酒セラー,40700.0,商品の説明      冷却力に自信のコンプレッサー式、2温度管理の32本収納ワインセラー。 奥行き42.8cmの極薄設計の2温度帯ワインセラー。 冷却力と利便性を併せ持つコンパクトワインセラー。  ●高温多湿、低温低湿、換気の悪い場所、直射日光が当たる場所、屋外、また床が不安定な場所への設置は避けてください。 ●床の耐荷重は、お客様側でご確認ください。 ●設置の際は、背面50mm以上、左右各50mm以上、上面50mm以上の 放熱スペースを取ってください。 ●初めてご利用になる際は、庫内温度が安定するまで3~4時間かかります。 庫内温度が下がってからワインを収納することをお勧め致します。 ●お客様のご使用上のミス、または故障によりワインの変質があっても補償致し かねますので、運転状態や庫内温度には充分ご注意下さい。 ●一度ご使用になった製品は、返品をお受けすることが出来ません。但しあきらかに製品に不備、不良が認められた製品につきましては、 代替品と交換させていただきます。 その他の責任はお受けすることができません。 ●こちらの製品は海外製品のため多少の汚れや小さな傷がある場合がございます。予めご了承下さいませ。なお、製造国の工場出荷時に検品を行い、動作チェックしております。 ●この商品の保証に関しましては、弊社【お酒の専門店リカマン】からお買い上げ頂いた商品にのみ適用させて頂きます。      ご注意（免責）＞必ずお読みください      ※この商品の保証に関しましては、弊社【お酒の専門店リカマン】からお買い上げ頂いた商品にのみ適用させて頂きます。,https://https://www.amazon.co.jp/dp/B0956LRSXN,"['https://m.media-amazon.com/images/I/41sHFon003S.jpg', 'https://m.media-amazon.com/images/I/51viGqxcGIS.jpg', 'https://m.media-amazon.com/images/I/51jDN-yrDsS.jpg', 'https://m.media-amazon.com/images/I/51NGntmB-8S.jpg', 'https://m.media-amazon.com/images/I/51+fx2mTG+S.jpg']"
15,B08SRDBC1K,HAMILO 冷蔵庫用ドリンクスタッカー 瓶ビール ペットボトル ドリンクホルダー 4点セット,1880.0,,https://https://www.amazon.co.jp/dp/B08SRDBC1K,"['https://m.media-amazon.com/images/I/417ZuUh0-iL.jpg', 'https://m.media-amazon.com/images/I/51ozASvbv4L.jpg', 'https://m.media-amazon.com/images/I/510HQ7lcVXL.jpg', 'https://m.media-amazon.com/images/I/51CPPbR5cuL.jpg', 'https://m.media-amazon.com/images/I/51h8OV2dhfL.jpg', 'https://m.media-amazon.com/images/I/51HWkr-AAqL.jpg', 'https://m.media-amazon.com/images/I/41DWU9U053L.jpg']"
16,B08W9XMY3P,キャンプ クッキング BUILT Tidbit スナックボトル BK 2021年モデル 4405,1650.0,◇ステンレスボトルやペットボトル感覚で持ち運べる携帯用スナックボトル◇家の中でも、外出先でも好きな時に好きなだけ食べて、そのまま持ち運べる!◇時間のない朝はグラノーラやフレークを入れて外出先で軽食◇シリコンキャップは本体から取り外せるので、洗う時に便利で衛生的に使えます◇ボトルには耐久性のあるトライタン樹脂を使用◇野球・スポーツ観戦に酒の肴を入れて応援!■素材：ボトル/トライタン樹脂(コポリエステル)クチバシ(ストッパー)/シリコン樹脂■サイズ：直径7.5cm×高さ16cmシリコンキャップ部分/直径6.5cm×高さ6cm(口を開いた状態)ボトルキャップ部分/直径7.5cm×高さ5cm■生産国：中国■2021年モデルアルペン alpen スポーツデポ SPORTSDEPO アウトドアーズ マウンテンズ outdoors mountains アウトドア キャンプ クッキング用品 マグ カップ,https://https://www.amazon.co.jp/dp/B08W9XMY3P,"['https://m.media-amazon.com/images/I/31WKj0ZMEUL.jpg', 'https://m.media-amazon.com/images/I/31dfA2qZ4YL.jpg', 'https://m.media-amazon.com/images/I/31sL+HHNRLL.jpg', 'https://m.media-amazon.com/images/I/31I1FK4n8qL.jpg', 'https://m.media-amazon.com/images/I/31Oynzk-XiL.jpg', 'https://m.media-amazon.com/images/I/31KtN6VhxaL.jpg', 'https://m.media-amazon.com/images/I/31sLAI0ai9L.jpg', 'https://m.media-amazon.com/images/I/31lD4qtV1jL.jpg', 'https://m.media-amazon.com/images/I/31J+U0xRJaL.jpg']"
17,B08Y899W19,ワインセラー 家庭用 ペルチェ式 小型 ワインクーラー 18本 WINNER wine cellar 55L WNR18-BK おしゃれ 静か 温度管理 お酒 保存 保管 タッチパネル 簡単操作,24800.0,,https://https://www.amazon.co.jp/dp/B08Y899W19,"['https://m.media-amazon.com/images/I/31NTQdjaygL.jpg', 'https://m.media-amazon.com/images/I/31noGVJYrJL.jpg', 'https://m.media-amazon.com/images/I/41LSG81rSiL.jpg', 'https://m.media-amazon.com/images/I/41qIQc7NxYL.jpg', 'https://m.media-amazon.com/images/I/41tkYg3U1nL.jpg', 'https://m.media-amazon.com/images/I/418ky5l2vIL.jpg', 'https://m.media-amazon.com/images/I/51x40RVaifL.jpg', 'https://m.media-amazon.com/images/I/51dDZQayDWL.jpg', 'https://m.media-amazon.com/images/I/41FPZ0Tu+GL.jpg']"
18,B0828G6Y5H,デバイスタイル ワインセラー (8本収納)【右開き】 ホワイトdeviceSTYLE CE-8W-W,22000.0,◆高いインテリア性ホワイトボディーを採用。ハンドルやドアなどに木目をあしらい、明るいキッチンや和室などにもフィット◆コンパクトながら22Lの広い庫内ボルドー換算で最大8本収納◆コンパクト設計幅264mm、奥行き570mm、高さ452mm◆ペアガラス採用保温効果の高いペアガラス採用　／　■　仕　様　■収納本数(約)：8本　冷却方式：ペルチェ式　設定可能温度範囲：4~22℃　外形寸法：幅264×奥行570×高さ452mm　質量(約)：10.3kg　定格消費電力(50Hz/60Hz)：58/58W　／　※ボトルの大きさや種類、収納方法により、収納本数は変化します。,https://https://www.amazon.co.jp/dp/B0828G6Y5H,"['https://m.media-amazon.com/images/I/41N3JxH2z7L.jpg', 'https://m.media-amazon.com/images/I/41VGseMRSzL.jpg', 'https://m.media-amazon.com/images/I/41siW9XbY7L.jpg', 'https://m.media-amazon.com/images/I/41YhsxdAhrL.jpg', 'https://m.media-amazon.com/images/I/51IuMGY+-QL.jpg', 'https://m.media-amazon.com/images/I/518sRP2u7BL.jpg', 'https://m.media-amazon.com/images/I/41bk4bMcF0L.jpg', 'https://m.media-amazon.com/images/I/31dCZKzauoL.jpg']"
19,B07G9N2RKP,デバイスタイル ワインセラー(7本収納) deviceSTYLE Angelshare CE-C7W-W,47630.0,商品の説明      『Angelshare CE-C7W-W』は、キッチンなどへのビルトインが可能な前面吸排気構造を採用したコンプレッサー式のスリムタワー型7本収納用ワインセラーです。 ワインセラーには珍しいホワイトボディーを採用し、ハンドルやドアなどに木目をあしらうなど明るいキッチンや和室などにもフィットするインテリア性を重視した外観仕様となっています。 家具などへのビルトインを考慮し、設置の際に必要な放熱スペースは上部5mm、側面2mm、背面10mmと従来モデルに比べ極めて小さくなっています。      ご注意（免責）＞必ずお読みください      ■据え付け場所について 取扱説明書をよくお読みいただき、以下の点にご注意のうえ設置をお願いいたします。 直射日光や、暖房器具など熱の当たらないところ ラジオ・テレビ・コードレス電話などから離しておく 湿気が少ないところ 丈夫で水平な床面に置く 放熱スペースをあける ワインセラーを積み重ねたり、棚の上などに置かない キッチンなどに組み込む場合、庫内温度を一定に保つため、背面は10mm、左右は2mm、上部は5mm以上のスペースをあけてください。背面上部の吸気口をふさがないようにしてください。また、前面の排気口の前に物を置いたりしないでください。 ※じゅうたん、カーペット、ビニールタイルなどの上に直接置くとあとがつきます。この場合は丈夫な板を敷いて、その上に設置してください。,https://https://www.amazon.co.jp/dp/B07G9N2RKP,"['https://m.media-amazon.com/images/I/31EC4YOCuML.jpg', 'https://m.media-amazon.com/images/I/31ohwrxzJ0L.jpg', 'https://m.media-amazon.com/images/I/51s1ydNypVL.jpg']"
20,B0099JPCHE,ottostyle.jp ワインセラー セパレート2段式 【最大32本収納】 家庭用 ペルチェ方式 タッチパネル 紫外線UVカットガラス 上下2段式で設定温度を管理可能 容量78L,26200.0,商品の説明      リビングにベストマッチ! 2段式で設定温度を上下で管理可能な家庭用ワインセラー   ■ ベーシックなスタイルながらも、上品なフォルム  高級感漂うブラックは、インテリアとしてもお部屋の空間を演出します。 キッチンやリビング、寝室などに。 前面のLED表示が保存状態を一目で確認できます。  ■ 程よい内容量と大きさが、ワインの初心者に最適  ガラスは二重構造にすることで保温性を向上し、ワインの天敵である紫外線には紫外線カットガラスを使用。 庫内には上品に照らすLED照明を装備。  ■ 環境に配慮したシステム  ペルチェ冷却方式の採用によりフロンガスの使用は一切なし。 環境にやさしい商品です。  ■ ワインセラー庫内温度を上下で設定可能!  上段は赤ワイン・下段は白ワインを保管できます。 ※赤ワインの場合は14~16℃、白ワイン場合は9~10.5℃が適温になります。  ■ デジタル表示は見やすいブルーLED。  やさしい光で庫内を照らすLED照明。  ■ 紫外線UVカットガラス仕様  紫外線に弱いワインをUVカットペアハーフミラーガラスで守ります。  ※PSE法の技術基準にて再設計され、ロット番号とシリアル番号で管理。 ※全品に耐絶縁検査しています。      ご注意（免責）＞必ずお読みください      ※仕様・デザインは予告無く変更する場合もございます予めご了承ください。 ※赤ワインの場合は14~16℃、白ワイン場合は9~10.5℃が適温になります。 ※ワインセラーの設置場所は温度変化の少ない場所へ設置願います。 ※室温が25以上や12度以下になった場合は温度調節が正しく作動しない場合があります。 ※加湿/加温機能はございません。 ※庫内温度の上昇によりワインに変質があっても保証致しかねます。庫内温度には充分ご注意ください。,https://https://www.amazon.co.jp/dp/B0099JPCHE,"['https://m.media-amazon.com/images/I/41gyTa3IN3L.jpg', 'https://m.media-amazon.com/images/I/51-kwi+DGfL.jpg', 'https://m.media-amazon.com/images/I/51uAfIZhSDL.jpg', 'https://m.media-amazon.com/images/I/51VQbFZOcgL.jpg', 'https://m.media-amazon.com/images/I/41a9YFOpWHL.jpg', 'https://m.media-amazon.com/images/I/4170lbiGviL.jpg', 'https://m.media-amazon.com/images/I/41tRki-jdcL.jpg', 'https://m.media-amazon.com/images/I/41uc3vsUMbL.jpg', 'https://m.media-amazon.com/images/I/41mr0arh8fL.jpg']"
